Vdd,Wn,Ln,Wp,Lp,Wr1,Lr1,R1 (in kOhms),Wr2,Lr2,R2 (in kOhms),Wc1,Lc1,MFc1,C1 (in pF),Wc2,Lc2,MFc2,C2 (in pF),Vdc (in mV),gain (in dB),lower cut-off frequency (in Hz),upper cut-off frequency (in kHz),noise in (uV),power (in uW)
1.5,20.0,0.15,40.0,0.15,1.0,30.0,60.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,15.0,15.0,6.0,2.768,705.2,20.51506,0.0,525.0492,15.43656,161.3881
1.25,40.0,0.15,80.0,0.15,1.0,50.0,100.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,15.0,15.0,6.0,2.768,590.0999999999999,20.22268,0.0,489.2721,9.761662,30.48936
1.125,50.0,0.15,100.0,0.15,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,14.0,13.0,6.0,2.246,538.0,20.17452,0.0,519.937,8.460034,9.831864
1.125,50.0,0.15,100.0,0.15,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,70.0,60.0,6.0,50.699999999999996,538.0,20.17452,0.0,23.02707,8.460322,9.831872
1.125,250.0,1.0,200.0,0.25,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,70.0,60.0,6.0,50.6964,448.66,23.82489,0.0,12.94196,2.832653,2.794655
1.125,250.0,1.0,200.0,0.25,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,55.0,55.0,5.0,30.459000000000003,448.66,23.82489,0.0,21.51295,2.832481,2.794644
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,1.0,13.33333,22.0,22.0,1.0,0.98472,50.0,50.0,1.0,5.038,448.66,14.74058,158489.3,403645.4,136.7781,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,10.0,133.33329999999998,22.0,22.0,1.0,0.98472,50.0,50.0,1.0,5.038,448.66,3.778642,62661.39,411149.7,136.7782,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,250.0,3333.333,0.3,1.0,6.666667,100.0,100.0,1.0,20.076,100.0,100.0,1.0,20.076,448.66,31.82523,19364.22,41399.97,3.920957,2.794434
1.125,250.0,1.0,200.0,0.25,0.15,300.0,4000.0,0.4,20.0,100.0,100.0,100.0,1.0,20.076,170.0,170.0,1.0,57.929199999999994,448.66,24.36886,8147.043,22233.1,3.632231,2.794422
1.125,250.0,1.0,200.0,0.25,0.15,300.0,4000.0,0.15,10.0,133.33329999999998,170.0,170.0,1.0,57.929199999999994,250.0,250.0,1.0,125.19000000000001,448.66,20.45644,2213.095,10000.0,2.871612,2.794327
1.125,250.0,1.0,200.0,0.25,0.15,25000.0,333333.3,0.15,500.0,6666.667,42.0,42.0,1.0,3.55992,47.0,48.0,1.0,4.5481,448.66,22.77707,606.7363,3706.807,3.833044,2.794165
1.125,250.0,1.0,200.0,0.25,0.15,200000.0,2666667.0,0.15,1000.0,13333.33,13.0,13.0,1.0,0.34787999999999997,14.0,15.0,1.0,0.43102,448.66,7.736271,162.5549,10715.19,27.8819,2.794416
1.125,250.0,1.0,200.0,0.25,0.15,200000.0,2666667.0,0.15,1000.0,13333.33,22.0,22.0,1.0,0.98472,14.0,15.0,1.0,0.43102,448.66,16.13267,150.6607,10665.96,11.58093,2.794374
